model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000542,84,45,,
BIOMD0000000769,24,5,,
BIOMD0000000806,25,6,,
BIOMD0000000347,36,26,,
BIOMD0000000970,3,5,0.0,0.0
BIOMD0000000408,9,10,0.0,0.0
BIOMD0000000801,13,4,,
BIOMD0000000008,13,5,,
BIOMD0000000545,10,14,0.0,0.0
BIOMD0000000631,33,12,,
BIOMD0000000590,20,9,,
BIOMD0000000778,8,3,0.0,0.0
BIOMD0000000156,5,3,0.00017,0.0001
BIOMD0000000247,25,31,,
BIOMD0000000939,126,60,,
BIOMD0000000454,4,8,0.0,0.0
BIOMD0000001006,21,10,,
BIOMD0000000907,25,34,,
BIOMD0000000319,4,3,0.0,0.0
BIOMD0000000692,5,8,0.0,0.0
BIOMD0000000043,7,5,0.0,0.0
BIOMD0000000491,86,57,,
BIOMD0000000120,10,5,0.0,0.0
BIOMD0000000256,56,27,,
BIOMD0000000727,57,30,,
BIOMD0000000690,10,17,,
BIOMD0000000460,3,4,0.00284,0.00249
BIOMD0000000924,0,6,,
BIOMD0000000313,16,16,,
BIOMD0000000311,5,4,0.0,0.0
BIOMD0000000933,3,3,0.00031,0.0002
BIOMD0000000847,6,4,0.0,0.0
BIOMD0000000300,10,16,,
BIOMD0000000088,110,105,,
BIOMD0000000842,26,18,,
BIOMD0000001009,8,6,0.0,0.0
BIOMD0000000074,57,19,,
BIOMD0000000100,10,5,0.0,0.0
BIOMD0000000359,8,9,0.0,0.0
BIOMD0000000774,4,2,0.00091,0.00111
BIOMD0000000614,4,1,0.0011,0.00106
BIOMD0000000548,0,3,,
BIOMD0000000011,30,22,,
BIOMD0000000165,30,37,,
BIOMD0000000565,64,26,,
BIOMD0000000028,17,16,,
BIOMD0000000606,54,29,,
BIOMD0000000214,24,16,,
BIOMD0000000598,56,28,,
BIOMD0000000639,10,17,,
