model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000807,15,3,,
BIOMD0000000768,13,5,,
BIOMD0000000225,3,5,0.0,0.0
BIOMD0000000151,72,68,,
BIOMD0000000569,62,21,,
BIOMD0000000583,30,23,,
BIOMD0000000178,4,6,0.0,0.0
BIOMD0000000430,28,27,,
BIOMD0000000960,11,8,,
BIOMD0000000828,12,6,,
BIOMD0000000427,22,21,,
BIOMD0000000793,5,2,0.00011,7e-05
BIOMD0000000426,29,34,,
BIOMD0000000333,45,54,,
BIOMD0000000086,24,17,,
BIOMD0000000520,7,3,0.0,0.0
BIOMD0000000898,8,5,0.0,0.0
BIOMD0000000287,37,23,,
BIOMD0000000292,4,6,0.0,0.0
BIOMD0000000899,8,12,0.0,0.0
BIOMD0000000255,827,504,,
BIOMD0000000056,94,54,,
BIOMD0000000877,9,4,0.0,0.0
BIOMD0000000450,74,53,,
BIOMD0000000097,46,19,,
BIOMD0000000445,64,32,,
BIOMD0000000138,1,1,0.09982,0.09806
BIOMD0000000064,17,26,,
BIOMD0000000501,57,35,,
BIOMD0000000107,23,14,,
BIOMD0000000073,48,16,,
BIOMD0000000489,59,53,,
BIOMD0000000664,15,8,,
BIOMD0000000710,16,7,,
BIOMD0000000498,44,21,,
BIOMD0000000101,13,6,,
BIOMD0000000061,24,25,,
BIOMD0000000464,10,14,0.0,0.0
BIOMD0000000832,26,20,,
BIOMD0000000749,9,4,0.0,0.0
BIOMD0000000364,16,14,,
BIOMD0000000414,3,1,0.00569,0.00546
BIOMD0000000944,6,3,0.0,0.0
BIOMD0000000367,0,3,,
BIOMD0000000405,8,6,0.0,0.0
BIOMD0000000968,7,10,0.0,0.0
BIOMD0000000362,33,34,,
BIOMD0000000348,0,7,,
BIOMD0000000957,3,4,0.00267,0.00244
BIOMD0000000349,0,7,,
