model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000152,120,64,,
BIOMD0000000581,32,28,,
BIOMD0000000741,10,4,0.0,0.0
BIOMD0000000609,10,5,0.0,0.0
BIOMD0000000409,31,24,,
BIOMD0000000781,8,3,0.0,0.0
BIOMD0000001058,20,10,,
BIOMD0000000197,10,7,0.0,0.0
BIOMD0000000961,40,49,,
BIOMD0000000394,10,23,,
BIOMD0000000802,8,4,0.0,0.0
BIOMD0000000751,3,2,0.00204,0.00216
BIOMD0000000552,4,3,0.0,0.0
BIOMD0000000643,0,6,,
BIOMD0000000284,8,9,0.0,0.0
BIOMD0000000044,8,4,0.0,0.0
BIOMD0000000859,25,13,,
BIOMD0000000495,17,11,,
BIOMD0000000090,21,26,,
BIOMD0000000443,22,19,,
BIOMD0000000321,6,3,5e-05,2e-05
BIOMD0000000080,6,10,0.0,0.0
BIOMD0000000320,14,9,,
BIOMD0000000691,18,19,,
BIOMD0000000726,23,8,,
BIOMD0000000531,0,1,,
BIOMD0000000109,138,57,,
BIOMD0000000500,18,14,,
BIOMD0000000071,14,27,,
BIOMD0000000878,6,3,2e-05,0.0
BIOMD0000001033,13,6,,
BIOMD0000000072,7,7,0.0,0.0
BIOMD0000000674,73,53,,
BIOMD0000000499,0,26,,
BIOMD0000000077,5,8,0.0,0.0
BIOMD0000000103,42,17,,
BIOMD0000000539,11,6,,
BIOMD0000000048,25,23,,
BIOMD0000000896,15,9,,
BIOMD0000000211,21,27,,
BIOMD0000000576,52,42,,
BIOMD0000000170,17,7,,
BIOMD0000000762,7,2,1e-05,1e-05
BIOMD0000000213,12,14,,
BIOMD0000000613,58,31,,
BIOMD0000000015,37,18,,
BIOMD0000000570,18,20,,
BIOMD0000000610,58,29,,
BIOMD0000000980,4,5,0.0,0.0
BIOMD0000000201,33,26,,
