model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000620,20,35,,
BIOMD0000000740,0,43,,
BIOMD0000000594,120,33,,
BIOMD0000000621,20,35,,
BIOMD0000000390,6,11,0.0,0.0
BIOMD0000000795,6,2,0.0,2e-05
BIOMD0000000811,29,6,,
BIOMD0000001060,7,2,0.0,0.0
BIOMD0000000791,11,5,,
BIOMD0000000357,8,9,0.0,0.0
BIOMD0000000180,20,8,,
BIOMD0000000037,12,12,,
BIOMD0000000220,42,58,,
BIOMD0000000119,1,1,0.09928,0.10038
BIOMD0000000045,8,4,0.0,0.0
BIOMD0000000291,0,10,,
BIOMD0000000695,35,12,,
BIOMD0000000250,78,49,,
BIOMD0000000721,10,5,0.0,0.0
BIOMD0000000872,18,7,,
BIOMD0000000453,117,109,,
BIOMD0000000095,46,19,,
BIOMD0000000308,6,6,0.0,0.0
BIOMD0000001014,7,5,0.0,0.0
BIOMD0000000054,5,3,0.0,0.0
BIOMD0000000243,23,23,,
BIOMD0000000676,17,15,,
BIOMD0000000272,8,6,0.0,0.0
BIOMD0000000703,22,11,,
BIOMD0000000139,45,24,,
BIOMD0000000517,9,4,0.0,0.0
BIOMD0000000258,4,3,0.00039,0.00053
BIOMD0000000106,32,25,,
BIOMD0000000274,0,3,,
BIOMD0000000507,4,3,0.0,0.0
BIOMD0000000659,0,7,,
BIOMD0000000505,59,54,,
BIOMD0000000510,36,47,,
BIOMD0000000615,17,4,,
BIOMD0000000588,157,76,,
BIOMD0000000204,10,12,0.0,0.0
BIOMD0000000158,6,3,2e-05,0.0
BIOMD0000000986,8,8,0.0,0.0
BIOMD0000000398,12,27,,
BIOMD0000000820,7,7,0.0,0.0
BIOMD0000000767,5,3,0.0,0.0
BIOMD0000000558,4,2,0.00036,0.00031
BIOMD0000000162,45,32,,
BIOMD0000000002,17,13,,
BIOMD0000000361,5,8,0.0,0.0
