model_name,num_reaction,num_species,trunceated_weak,truncated_strong,is_boundary_network,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000585,0,28,,,True,,
BIOMD0000000645,0,6,,,True,,
BIOMD0000000671,0,7,,,True,,
BIOMD0000000561,0,1,,,True,,
BIOMD0000000486,2,2,0.0,0.0,False,0.03833,0.03814
BIOMD0000000047,3,2,0.0,0.0,False,0.01332,0.01362
BIOMD0000000387,4,7,0.0,0.0,False,0.0,0.0
BIOMD0000000454,4,8,0.0,0.0,False,0.0,0.0
BIOMD0000000114,4,2,0.0,0.0,False,0.0014,0.00139
BIOMD0000000793,5,2,0.0,0.0,True,0.00011,0.00011
BIOMD0000000062,5,4,0.0,0.0,True,0.0,0.0
BIOMD0000000815,6,2,0.0,0.0,True,0.0,0.0
BIOMD0000000900,6,3,1e-05,4e-05,True,0.0,1e-05
BIOMD0000000158,6,3,0.0,0.0,False,1e-05,1e-05
BIOMD0000000845,7,3,0.0,0.0,False,0.0,0.0
BIOMD0000000968,7,10,0.0,0.0,False,0.0,0.0
BIOMD0000000938,8,5,0.0,0.0,True,0.0,0.0
BIOMD0000000112,8,10,0.0,0.0,False,0.0,0.0
BIOMD0000000192,9,13,0.0,0.0,False,0.0,0.0
BIOMD0000000698,9,7,0.0,0.0,False,0.0,0.0
BIOMD0000000197,10,7,0.0,0.0,False,0.0,0.0
BIOMD0000000844,10,9,0.0,0.0,True,0.0,0.0
BIOMD0000000016,10,7,0.0,0.0,False,0.0,0.0
BIOMD0000000647,11,11,,,False,,
BIOMD0000000395,12,23,,,False,,
BIOMD0000001042,12,6,,,True,,
BIOMD0000000908,13,7,,,True,,
BIOMD0000000761,14,6,,,True,,
BIOMD0000000896,15,9,,,False,,
BIOMD0000000355,17,9,,,False,,
BIOMD0000000988,18,20,,,False,,
BIOMD0000000621,20,35,,,True,,
BIOMD0000001006,21,10,,,False,,
BIOMD0000000110,22,15,,,False,,
BIOMD0000000467,24,20,,,False,,
BIOMD0000000294,26,11,,,False,,
BIOMD0000000811,29,6,,,True,,
BIOMD0000000011,30,22,,,False,,
BIOMD0000001027,33,20,,,False,,
BIOMD0000000393,36,58,,,False,,
BIOMD0000000516,40,50,,,False,,
BIOMD0000000095,46,19,,,False,,
BIOMD0000000147,51,24,,,False,,
BIOMD0000000575,58,76,,,False,,
BIOMD0000000230,64,26,,,False,,
BIOMD0000000994,66,23,,,False,,
BIOMD0000000833,83,61,,,False,,
BIOMD0000000634,112,69,,,False,,
BIOMD0000000109,138,57,,,False,,
BIOMD0000000628,587,135,,,False,,
BIOMD0000000346,0,2,,,True,,
BIOMD0000000642,0,4,,,True,,
BIOMD0000000299,0,3,,,True,,
BIOMD0000000402,0,4,,,True,,
