model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000224,6,4,0.0,1e-05
BIOMD0000000796,13,5,,
BIOMD0000000345,0,13,,
BIOMD0000000192,9,13,0.0,0.0
BIOMD0000000743,14,4,,
BIOMD0000000540,11,22,,
BIOMD0000000636,113,78,,
BIOMD0000000381,0,5,,
BIOMD0000000960,11,8,,
BIOMD0000000419,6,3,0.0,0.0
BIOMD0000000355,17,9,,
BIOMD0000000976,5,4,9e-05,3e-05
BIOMD0000000208,15,6,,
BIOMD0000000119,1,1,0.0977,0.09751
BIOMD0000000290,12,5,,
BIOMD0000000044,8,4,0.0,0.0
BIOMD0000000871,13,8,,
BIOMD0000001012,7,4,0.0,0.0
BIOMD0000000906,6,3,0.0,1e-05
BIOMD0000000319,4,3,0.0,0.0
BIOMD0000000876,9,4,0.0,0.0
BIOMD0000000731,25,18,,
BIOMD0000000254,0,4,,
BIOMD0000000122,17,14,,
BIOMD0000000487,6,6,0.0,0.0
BIOMD0000000928,13,4,,
BIOMD0000000337,5,3,0.0,0.0
BIOMD0000000879,11,3,,
BIOMD0000000064,17,26,,
BIOMD0000000515,40,51,,
BIOMD0000000105,94,39,,
BIOMD0000000265,52,23,,
BIOMD0000000264,15,14,,
BIOMD0000000106,32,25,,
BIOMD0000000248,5,9,0.0,0.0
BIOMD0000000077,5,8,0.0,0.0
BIOMD0000000665,13,8,,
BIOMD0000000465,12,16,,
BIOMD0000000712,6,4,0.0,0.0
BIOMD0000000100,10,5,0.0,0.0
BIOMD0000001047,8,4,0.0,0.0
BIOMD0000000984,3,5,0.0,0.0
BIOMD0000000628,587,135,,
BIOMD0000000212,18,31,,
BIOMD0000000039,7,5,0.0,0.0
BIOMD0000000824,3,2,0.0,0.0
BIOMD0000000377,0,4,,
BIOMD0000000969,32,28,,
BIOMD0000000362,33,34,,
BIOMD0000001056,5,3,8e-05,5e-05
BIOMD0000000016,10,7,0.0,0.0
BIOMD0000000413,9,5,0.0,0.0
