model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000422,43,37,,
BIOMD0000000797,12,4,,
BIOMD0000000543,127,111,,
BIOMD0000000151,72,68,,
BIOMD0000000227,57,60,,
BIOMD0000000756,11,4,,
BIOMD0000000193,6,8,0.0,0.0
BIOMD0000000424,58,55,,
BIOMD0000000791,11,5,,
BIOMD0000000380,8,16,,
BIOMD0000000802,8,4,0.0,0.0
BIOMD0000000745,10,5,0.0,0.0
BIOMD0000000585,0,28,,
BIOMD0000000630,14,6,,
BIOMD0000000247,25,31,,
BIOMD0000000087,43,55,,
BIOMD0000001038,6,3,1e-05,2e-05
BIOMD0000000442,12,13,,
BIOMD0000000708,11,5,,
BIOMD0000000537,73,44,,
BIOMD0000000123,17,14,,
BIOMD0000000527,0,1,,
BIOMD0000000718,29,16,,
BIOMD0000000877,9,4,0.0,0.0
BIOMD0000000336,20,18,,
BIOMD0000000915,8,10,0.0,0.0
BIOMD0000000519,7,3,0.0,0.0
BIOMD0000000662,10,5,0.0,0.0
BIOMD0000000272,8,6,0.0,0.0
BIOMD0000000065,16,9,,
BIOMD0000000878,6,3,1e-05,0.0
BIOMD0000000339,115,54,,
BIOMD0000000700,49,30,,
BIOMD0000000648,64,54,,
BIOMD0000000300,10,16,,
BIOMD0000000936,2,1,0.02735,0.02715
BIOMD0000001023,6,3,0.0,1e-05
BIOMD0000001035,8,4,0.0,0.0
BIOMD0000000908,13,7,,
BIOMD0000001020,8,3,0.0,0.0
BIOMD0000000371,0,3,,
BIOMD0000000946,0,7,,
BIOMD0000000370,0,32,,
BIOMD0000000414,3,1,0.00533,0.00552
BIOMD0000000945,0,5,,
BIOMD0000000415,5,10,0.0,0.0
BIOMD0000000439,21,20,,
BIOMD0000000001,17,12,,
BIOMD0000000558,4,2,0.00025,0.00025
BIOMD0000000604,54,29,,
BIOMD0000000980,4,5,0.0,0.0
BIOMD0000000567,2,2,0.0,0.0
