model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000387,4,7,0.0,0.0
BIOMD0000000966,6,7,0.0,0.0
BIOMD0000000423,11,9,,
BIOMD0000000186,9,11,0.0,0.0
BIOMD0000000031,4,6,0.0,0.0
BIOMD0000000568,69,39,,
BIOMD0000000150,2,4,0.01914,0.01947
BIOMD0000000430,28,27,,
BIOMD0000000948,6,6,0.0,0.0
BIOMD0000000343,0,26,,
BIOMD0000000433,10,11,0.0,0.0
BIOMD0000000962,3,5,0.0,0.0
BIOMD0000000220,42,58,,
BIOMD0000000125,7,5,0.0,0.0
BIOMD0000000284,8,9,0.0,0.0
BIOMD0000000050,16,14,,
BIOMD0000000865,8,4,0.0,0.0
BIOMD0000000318,17,7,,
BIOMD0000000907,25,34,,
BIOMD0000001013,4,2,0.0002,0.00029
BIOMD0000000862,11,9,,
BIOMD0000000719,9,7,0.0,0.0
BIOMD0000000240,14,6,,
BIOMD0000000644,0,6,,
BIOMD0000000493,6,3,0.0,0.0
BIOMD0000000096,46,19,,
BIOMD0000000323,6,3,0.0,0.0
BIOMD0000000138,1,1,0.0983,0.09906
BIOMD0000000299,0,3,,
BIOMD0000000273,38,19,,
BIOMD0000000663,9,3,0.0,0.0
BIOMD0000000271,8,6,0.0,0.0
BIOMD0000000258,4,3,0.00056,0.00048
BIOMD0000000112,8,10,0.0,0.0
BIOMD0000000499,0,26,,
BIOMD0000000711,26,11,,
BIOMD0000000671,0,7,,
BIOMD0000000471,282,657,,
BIOMD0000000074,57,19,,
BIOMD0000000855,12,4,,
BIOMD0000001053,10,6,0.0,0.0
BIOMD0000000748,11,4,,
BIOMD0000000833,83,61,,
BIOMD0000000399,125,100,,
BIOMD0000000978,3,4,0.00523,0.00547
BIOMD0000000830,7,7,0.0,0.0
BIOMD0000000363,4,4,0.00028,0.00014
BIOMD0000000968,7,10,0.0,0.0
BIOMD0000000404,35,29,,
BIOMD0000000823,18,16,,
BIOMD0000000770,14,4,,
BIOMD0000000407,88,47,,
