model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000436,22,13,,
BIOMD0000000783,8,3,0.0,0.0
BIOMD0000000225,3,5,0.0,0.0
BIOMD0000000145,11,7,,
BIOMD0000000541,30,37,,
BIOMD0000000742,6,2,1e-05,1e-05
BIOMD0000000805,10,4,0.0,0.0
BIOMD0000001060,7,2,0.0,0.0
BIOMD0000000949,17,7,,
BIOMD0000000394,10,23,,
BIOMD0000000816,16,8,,
BIOMD0000000023,11,13,,
BIOMD0000000591,9,8,0.0,0.0
BIOMD0000000156,5,3,5e-05,4e-05
BIOMD0000000521,0,4,,
BIOMD0000000093,46,34,,
BIOMD0000000326,91,71,,
BIOMD0000000867,31,10,,
BIOMD0000000046,15,16,,
BIOMD0000000523,13,18,,
BIOMD0000000645,0,6,,
BIOMD0000000533,0,11,,
BIOMD0000000056,94,54,,
BIOMD0000000687,25,15,,
BIOMD0000001028,35,21,,
BIOMD0000000901,0,3,,
BIOMD0000000525,19,18,,
BIOMD0000000676,17,15,,
BIOMD0000000266,0,8,,
BIOMD0000000071,14,27,,
BIOMD0000000688,30,16,,
BIOMD0000001027,33,20,,
BIOMD0000000728,5,2,1e-05,6e-05
BIOMD0000000847,6,4,0.0,0.0
BIOMD0000000328,29,18,,
BIOMD0000000922,3,3,0.00037,0.00022
BIOMD0000001037,3,2,0.00206,0.00189
BIOMD0000000868,5,5,0.0,1e-05
BIOMD0000000934,19,16,,
BIOMD0000000458,3,7,0.0,0.0
BIOMD0000000826,25,13,,
BIOMD0000000991,10,9,0.0,0.0
BIOMD0000000364,16,14,,
BIOMD0000000400,0,13,,
BIOMD0000000789,5,4,0.0,0.0
BIOMD0000001045,2,3,0.05825,0.05613
BIOMD0000000808,15,6,,
BIOMD0000000767,5,3,0.0,0.0
BIOMD0000000216,17,6,,
BIOMD0000000610,58,29,,
BIOMD0000000758,4,2,0.00026,0.00023
BIOMD0000000573,7,2,0.0,0.0
