model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000185,20,8,,
BIOMD0000000026,10,11,0.0,0.0
BIOMD0000000580,26,39,,
BIOMD0000000621,20,35,,
BIOMD0000000384,4,6,0.0,0.0
BIOMD0000000781,8,3,0.0,0.0
BIOMD0000000346,0,2,,
BIOMD0000000183,352,67,,
BIOMD0000000752,5,3,5e-05,0.0
BIOMD0000000545,10,14,0.0,0.0
BIOMD0000000157,6,3,1e-05,3e-05
BIOMD0000000553,4,3,0.0,0.0
BIOMD0000000036,5,3,0.00012,0.00014
BIOMD0000000195,20,11,,
BIOMD0000000469,399,786,,
BIOMD0000000904,7,4,0.0,0.0
BIOMD0000000483,8,8,0.0,0.0
BIOMD0000000640,48,45,,
BIOMD0000000287,37,23,,
BIOMD0000000286,93,59,,
BIOMD0000000655,63,54,,
BIOMD0000000484,2,2,0.03769,0.03833
BIOMD0000000903,10,5,0.0,0.0
BIOMD0000000308,6,6,0.0,0.0
BIOMD0000000849,23,23,,
BIOMD0000000726,23,8,,
BIOMD0000000294,26,11,,
BIOMD0000000647,11,11,,
BIOMD0000000448,34,27,,
BIOMD0000000924,0,6,,
BIOMD0000000475,25,23,,
BIOMD0000000463,50,39,,
BIOMD0000000926,26,8,,
BIOMD0000000476,36,16,,
BIOMD0000000843,15,10,,
BIOMD0000000704,33,17,,
BIOMD0000000315,27,20,,
BIOMD0000000667,148,103,,
BIOMD0000000061,24,25,,
BIOMD0000000538,0,3,,
BIOMD0000000601,3,5,0.0,0.0
BIOMD0000000007,25,22,,
BIOMD0000000358,8,12,0.0,0.0
BIOMD0000000158,6,3,0.0,1e-05
BIOMD0000000038,10,17,,
BIOMD0000000213,12,14,,
BIOMD0000000607,58,29,,
BIOMD0000000997,65,23,,
BIOMD0000000996,66,23,,
BIOMD0000000606,54,29,,
BIOMD0000000200,34,22,,
BIOMD0000000981,15,12,,
BIOMD0000000163,26,16,,
