model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000807,15,3,,
BIOMD0000000754,10,3,0.0,0.0
BIOMD0000000557,22,25,,
BIOMD0000000153,152,75,,
BIOMD0000000233,4,4,0.0,0.0
BIOMD0000000795,6,2,1e-05,0.0
BIOMD0000000420,4,2,0.00022,0.00029
BIOMD0000000197,10,7,0.0,0.0
BIOMD0000000975,48,19,,
BIOMD0000000237,31,26,,
BIOMD0000000625,38,19,,
BIOMD0000000590,20,9,,
BIOMD0000000744,14,5,,
BIOMD0000000817,13,8,,
BIOMD0000001005,79,41,,
BIOMD0000000911,6,3,0.0,0.0
BIOMD0000000468,74,79,,
BIOMD0000000668,10,14,0.0,0.0
BIOMD0000000734,47,23,,
BIOMD0000000279,0,3,,
BIOMD0000000899,8,12,0.0,0.0
BIOMD0000000269,22,18,,
BIOMD0000000724,28,39,,
BIOMD0000001002,66,23,,
BIOMD0000000478,39,33,,
BIOMD0000000054,5,3,0.0,0.0
BIOMD0000000257,11,11,,
BIOMD0000000109,138,57,,
BIOMD0000001024,4,2,0.00021,0.00021
BIOMD0000000059,18,6,,
BIOMD0000000844,10,9,0.0,0.0
BIOMD0000000311,5,4,0.0,0.0
BIOMD0000000099,14,7,,
BIOMD0000000304,0,5,,
BIOMD0000001022,6,4,0.0,0.0
BIOMD0000000089,36,16,,
BIOMD0000000467,24,20,,
BIOMD0000000698,9,7,0.0,0.0
BIOMD0000000713,9,3,0.0,0.0
BIOMD0000001008,0,5,,
BIOMD0000000832,26,20,,
BIOMD0000000985,9,7,0.0,0.0
BIOMD0000001052,14,3,,
BIOMD0000000825,4,3,0.0,0.0
BIOMD0000000979,4,5,0.0,0.0
BIOMD0000000398,12,27,,
BIOMD0000000175,102,120,,
BIOMD0000000015,37,18,,
BIOMD0000000564,38,19,,
BIOMD0000000638,48,21,,
BIOMD0000000572,21,26,,
BIOMD0000000598,56,28,,
BIOMD0000000611,62,66,,
