model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000350,30,14,,
BIOMD0000000768,13,5,,
BIOMD0000000231,4,6,0.0,0.0
BIOMD0000000623,31,31,,
BIOMD0000000555,0,1,,
BIOMD0000000018,47,33,,
BIOMD0000000811,29,6,,
BIOMD0000000418,2,1,0.02589,0.02709
BIOMD0000000961,40,49,,
BIOMD0000000579,175,240,,
BIOMD0000000143,20,20,,
BIOMD0000000779,25,6,,
BIOMD0000000778,8,3,0.0,0.0
BIOMD0000000624,5,7,2e-05,0.0
BIOMD0000000482,29,23,,
BIOMD0000000905,10,5,0.0,0.0
BIOMD0000001010,4,3,0.0,0.0
BIOMD0000000697,30,16,,
BIOMD0000000720,25,9,,
BIOMD0000000245,20,11,,
BIOMD0000000679,8,4,0.0,0.0
BIOMD0000000255,827,504,,
BIOMD0000000730,108,45,,
BIOMD0000000693,0,27,,
BIOMD0000001000,66,23,,
BIOMD0000000732,6,5,0.0,0.0
BIOMD0000000243,23,23,,
BIOMD0000000110,22,15,,
BIOMD0000000500,18,14,,
BIOMD0000000717,10,4,0.0,0.0
BIOMD0000000850,4,3,0.00061,0.0007
BIOMD0000000477,49,43,,
BIOMD0000000933,3,3,0.00027,0.00026
BIOMD0000000853,21,9,,
BIOMD0000001036,6,3,0.0,0.0
BIOMD0000000923,4,4,1e-05,0.0
BIOMD0000000329,8,3,0.0,0.0
BIOMD0000000840,11,5,,
BIOMD0000000920,0,4,,
BIOMD0000000470,399,786,,
BIOMD0000000198,7,12,0.0,0.0
BIOMD0000000749,9,4,0.0,0.0
BIOMD0000000402,0,4,,
BIOMD0000000366,8,12,0.0,0.0
BIOMD0000000951,33,34,,
BIOMD0000000429,16,15,,
BIOMD0000000820,7,7,0.0,0.0
BIOMD0000000773,6,3,1e-05,0.0
BIOMD0000000570,18,20,,
BIOMD0000000176,19,25,,
BIOMD0000000599,37,30,,
BIOMD0000000215,14,7,,
BIOMD0000000639,10,17,,
