model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000152,120,64,,
BIOMD0000000218,14,13,,
BIOMD0000000755,7,9,0.0,0.0
BIOMD0000000812,9,6,0.0,0.0
BIOMD0000000347,36,26,,
BIOMD0000000780,12,4,,
BIOMD0000000391,21,22,,
BIOMD0000000140,45,24,,
BIOMD0000000236,4,7,0.0,0.0
BIOMD0000000035,16,10,,
BIOMD0000000800,6,3,0.0,0.0
BIOMD0000000382,0,6,,
BIOMD0000000787,4,2,0.00026,0.00036
BIOMD0000000426,29,34,,
BIOMD0000000455,5,9,0.0,0.0
BIOMD0000000051,48,18,,
BIOMD0000000508,0,16,,
BIOMD0000000642,0,4,,
BIOMD0000000250,78,49,,
BIOMD0000000709,11,5,,
BIOMD0000000443,22,19,,
BIOMD0000000309,4,4,0.0,0.0
BIOMD0000000916,4,5,0.00043,0.00049
BIOMD0000000485,4,2,0.00168,0.00163
BIOMD0000000120,10,5,0.0,0.0
BIOMD0000000530,17,10,,
BIOMD0000000055,32,13,,
BIOMD0000001001,66,23,,
BIOMD0000000474,367,133,,
BIOMD0000000058,11,4,,
BIOMD0000000449,34,27,,
BIOMD0000000113,7,4,0.0,0.0
BIOMD0000000715,11,5,,
BIOMD0000000489,59,53,,
BIOMD0000000894,6,3,0.0,0.0
BIOMD0000000260,29,17,,
BIOMD0000000275,9,5,0.0,0.0
BIOMD0000000881,10,4,0.0,0.0
BIOMD0000000505,59,54,,
BIOMD0000000289,12,5,,
BIOMD0000000896,15,9,,
BIOMD0000000577,64,32,,
BIOMD0000000006,3,4,0.0,0.0
BIOMD0000000172,19,25,,
BIOMD0000000548,0,3,,
BIOMD0000000777,8,3,1e-05,0.0
BIOMD0000000617,4,1,0.00111,0.00118
BIOMD0000000571,92,76,,
BIOMD0000000766,11,5,,
BIOMD0000000809,9,4,0.0,0.0
BIOMD0000000374,0,5,,
BIOMD0000000771,6,3,0.0,0.0
BIOMD0000001057,5,2,7e-05,0.00011
