model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000191,5,3,0.00012,8e-05
BIOMD0000000998,66,23,,
BIOMD0000000594,120,33,,
BIOMD0000000147,51,24,,
BIOMD0000000409,31,24,,
BIOMD0000000971,13,8,,
BIOMD0000000352,12,6,,
BIOMD0000000815,6,2,2e-05,0.0
BIOMD0000000008,13,5,,
BIOMD0000000223,109,86,,
BIOMD0000000619,13,10,,
BIOMD0000000235,778,622,,
BIOMD0000000750,25,8,,
BIOMD0000000181,18,6,,
BIOMD0000000441,10,11,0.0,0.0
BIOMD0000000092,3,4,0.0,0.0
BIOMD0000000246,41,29,,
BIOMD0000000898,8,5,0.0,0.0
BIOMD0000000293,316,136,,
BIOMD0000000735,47,23,,
BIOMD0000000669,0,7,,
BIOMD0000000335,31,34,,
BIOMD0000000095,46,19,,
BIOMD0000000446,62,27,,
BIOMD0000000691,18,19,,
BIOMD0000000068,3,9,,
BIOMD0000000069,7,10,0.0,0.0
BIOMD0000000121,5,6,0.0,0.0
BIOMD0000000460,3,4,0.00273,0.00256
BIOMD0000000930,14,4,,
BIOMD0000000461,3,4,0.00318,0.00292
BIOMD0000000852,15,6,,
BIOMD0000000932,5,4,3e-05,2e-05
BIOMD0000000310,6,4,0.0,0.0
BIOMD0000000670,0,3,,
BIOMD0000000062,5,4,0.0,0.0
BIOMD0000000473,298,713,,
BIOMD0000000101,13,6,,
BIOMD0000000049,150,99,,
BIOMD0000000504,132,75,,
BIOMD0000000167,7,9,0.0,0.0
BIOMD0000000761,14,6,,
BIOMD0000000204,10,12,0.0,0.0
BIOMD0000000616,10,4,0.0,0.0
BIOMD0000000762,7,2,0.0,0.0
BIOMD0000000207,6,6,0.0,0.0
BIOMD0000000161,43,46,,
BIOMD0000000029,7,6,0.0,0.0
BIOMD0000000028,17,16,,
BIOMD0000000160,41,25,,
BIOMD0000000566,2,2,0.0,0.0
BIOMD0000000995,66,23,,
BIOMD0000000605,58,29,,
