model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000556,8,6,0.0,0.0
BIOMD0000000769,24,5,,
BIOMD0000000437,40,61,,
BIOMD0000000810,53,14,,
BIOMD0000000794,32,17,,
BIOMD0000000232,12,14,,
BIOMD0000000144,54,18,,
BIOMD0000000578,96,76,,
BIOMD0000000747,28,33,,
BIOMD0000000182,32,37,,
BIOMD0000000427,22,21,,
BIOMD0000000792,14,6,,
BIOMD0000000397,29,50,,
BIOMD0000000858,20,10,,
BIOMD0000000723,73,25,,
BIOMD0000000291,0,10,,
BIOMD0000000681,0,4,,
BIOMD0000000495,17,11,,
BIOMD0000000084,8,8,0.0,0.0
BIOMD0000000331,0,7,,
BIOMD0000001003,66,23,,
BIOMD0000000043,7,5,0.0,0.0
BIOMD0000000268,61,44,,
BIOMD0000000108,17,9,,
BIOMD0000000242,12,6,,
BIOMD0000000914,9,5,0.0,0.0
BIOMD0000000451,53,94,,
BIOMD0000000851,4,5,6e-05,7e-05
BIOMD0000000716,10,4,0.0,0.0
BIOMD0000000267,3,4,0.00515,0.00546
BIOMD0000000107,23,14,,
BIOMD0000000259,29,17,,
BIOMD0000000516,40,50,,
BIOMD0000000880,11,4,,
BIOMD0000000512,75,39,,
BIOMD0000000507,4,3,0.0,0.0
BIOMD0000000895,29,9,,
BIOMD0000000539,11,6,,
BIOMD0000000060,3,4,0.00081,0.00114
BIOMD0000000114,4,2,0.00146,0.00151
BIOMD0000000205,205,194,,
BIOMD0000000774,4,2,0.00112,0.00105
BIOMD0000000600,29,18,,
BIOMD0000000560,117,65,,
BIOMD0000000005,9,9,0.0,0.0
BIOMD0000000159,6,3,0.0,1e-05
BIOMD0000000388,7,8,0.0,0.0
BIOMD0000000941,12,8,,
BIOMD0000000438,7,10,0.0,0.0
BIOMD0000001042,12,6,,
BIOMD0000000957,3,4,0.00246,0.00264
BIOMD0000001043,7,4,0.0,0.0
